time_s,radius_m,pressure_Pa,damage,tension_Npm
39.42,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.45,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.48,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
39.51,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.54,5.314414137592403e-5,2.187779747649333,0.9182170364622674,5.813383810422984e-5
39.57,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.6,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
39.63,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
39.66,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.69,5.3144141375924014e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.72,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
39.75,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
39.78,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.81,5.3144141375924014e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.84,5.3144141375924014e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.87,5.3144141375924014e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
39.9,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
39.93,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.96,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.99,5.3144141375924014e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.02,5.3144141375924014e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.05,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.08,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.11,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.14,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.17,5.3144141375924014e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
40.2,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.23,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.26,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.29,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
40.32,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.35,5.3144141375924014e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.38,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.41,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.44,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
40.47,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
40.5,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
40.53,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
40.56,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
40.59,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
40.62,5.314414137592402e-5,2.1877797476493326,0.9182170364622674,5.8133838104229626e-5
40.65,5.314414137592402e-5,2.1877797476493326,0.9182170364622674,5.8133838104229626e-5
40.68,5.3144141375924014e-5,2.1877797476493326,0.9182170364622674,5.8133838104229626e-5
40.71,5.314414137592402e-5,2.1877797476493326,0.9182170364622674,5.8133838104229626e-5
40.74,5.314414137592402e-5,2.1877797476493326,0.9182170364622674,5.8133838104229626e-5
40.77,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
40.8,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
40.83,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
40.86,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
40.89,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
40.92,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
40.95,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
40.98,5.314414137592402e-5,2.1877797476493326,0.9182170364622673,5.8133838104229714e-5
41.01,5.314414137592402e-5,2.1877797476493326,0.9182170364622674,5.8133838104229626e-5
41.04,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
41.07,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
41.1,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
41.13,5.314414137592403e-5,2.187779747649333,0.9182170364622674,5.813383810422984e-5
41.16,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
41.19,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
41.22,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
41.25,5.314414137592403e-5,2.187779747649333,0.9182170364622674,5.813383810422984e-5
41.28,5.314414137592403e-5,2.187779747649333,0.9182170364622674,5.813383810422984e-5
41.31,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
41.34,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
41.37,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
41.4,5.314414137592403e-5,2.187779747649333,0.9182170364622674,5.813383810422984e-5
41.43,5.314414137592403e-5,2.187779747649333,0.9182170364622674,5.813383810422984e-5
41.46,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
41.49,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
41.52,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
41.55,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
41.58,5.314414137592403e-5,2.1877797476493326,0.9182170364622674,5.813383810422984e-5
41.61,5.314414137592403e-5,2.1877797476493326,0.9182170364622675,5.813383810422977e-5
41.64,5.314414137592403e-5,2.1877797476493326,0.9182170364622675,5.813383810422977e-5
41.67,5.314414137592402e-5,2.1877797476493326,0.9182170364622674,5.8133838104229626e-5
41.7,5.314414137592403e-5,2.187779747649333,0.9182170364622674,5.813383810422984e-5
41.73,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
41.76,5.314414137592403e-5,2.187779747649333,0.9182170364622675,5.813383810422977e-5
41.79,5.314414137592403e-5,2.187779747649333,0.9182170364622674,5.813383810422984e-5
41.82,5.314414137592402e-5,2.1877797476493326,0.9182170364622674,5.8133838104229626e-5
41.85,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
